ID                                     0xdfa6
Delivery_person_ID             DEHRES010DEL01
Delivery_person_Age                 38.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 30.328174
Restaurant_longitude                78.049117
Delivery_location_latitude          30.368174
Delivery_location_longitude         78.089117
Order_Date                         13-02-2022
Time_Orderd                             12:55
Time_Order_picked                       13:05
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    33.000000
Name: 39473, dtype: object
