ID                                     0xe103
Delivery_person_ID             KNPRES010DEL03
Delivery_person_Age                 30.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 26.477750
Restaurant_longitude                80.351569
Delivery_location_latitude          26.507750
Delivery_location_longitude         80.381569
Order_Date                         13-02-2022
Time_Orderd                             19:35
Time_Order_picked                       19:45
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    33.000000
Name: 9815, dtype: object
