ID                                       0xdff1
Delivery_person_ID                KOCRES16DEL03
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   10.003064
Restaurant_longitude                  76.307589
Delivery_location_latitude            10.063064
Delivery_location_longitude           76.367589
Order_Date                           15-02-2022
Time_Orderd                               19:30
Time_Order_picked                         19:45
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 41585, dtype: object
