ID                                    0x924f
Delivery_person_ID             SURRES09DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                21.175975
Restaurant_longitude               72.795503
Delivery_location_latitude         21.215975
Delivery_location_longitude        72.835503
Order_Date                        21-03-2022
Time_Orderd                            14:15
Time_Order_picked                      14:25
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 44302, dtype: object
