ID                                       0xbc03
Delivery_person_ID             COIMBRES010DEL01
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   11.003008
Restaurant_longitude                  76.975440
Delivery_location_latitude            11.073009
Delivery_location_longitude           77.045440
Order_Date                           06-04-2022
Time_Orderd                               23:20
Time_Order_picked                         23:30
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      23.000000
Name: 10498, dtype: object
