ID                                    0xba11
Delivery_person_ID             MYSRES06DEL02
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                12.323994
Restaurant_longitude               76.626167
Delivery_location_latitude         12.343994
Delivery_location_longitude        76.646167
Order_Date                        21-03-2022
Time_Orderd                             8:60
Time_Order_picked                       9:15
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   21.000000
Name: 41496, dtype: object
