ID                                     0xde3e
Delivery_person_ID             AURGRES20DEL01
Delivery_person_Age                     25.00
Delivery_person_Ratings                  4.80
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.04
Delivery_location_longitude              0.04
Order_Date                         15-02-2022
Time_Orderd                             14:35
Time_Order_picked                       14:45
Weather conditions                        Fog
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        22.00
Name: 35401, dtype: object
