ID                                       0xab4d
Delivery_person_ID                MUMRES16DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   19.120083
Restaurant_longitude                  72.907385
Delivery_location_latitude            19.160083
Delivery_location_longitude           72.947385
Order_Date                           21-03-2022
Time_Orderd                               12:35
Time_Order_picked                         12:50
Weather conditions                          Fog
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      31.000000
Name: 25740, dtype: object
