ID                                    0xcd74
Delivery_person_ID             GOARES15DEL01
Delivery_person_Age                 35.00000
Delivery_person_Ratings              4.60000
Restaurant_latitude                 15.51315
Restaurant_longitude                73.78346
Delivery_location_latitude          15.52315
Delivery_location_longitude         73.79346
Order_Date                        17-02-2022
Time_Orderd                            11:10
Time_Order_picked                      11:25
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                    29.00000
Name: 13901, dtype: object
