ID                                    0xc96f
Delivery_person_ID             DEHRES02DEL01
Delivery_person_Age                    39.00
Delivery_person_Ratings                 4.20
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.04
Delivery_location_longitude             0.04
Order_Date                        17-02-2022
Time_Orderd                            14:50
Time_Order_picked                      15:05
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       35.00
Name: 14362, dtype: object
