ID                                      0x275f
Delivery_person_ID             BANGRES010DEL01
Delivery_person_Age                  25.000000
Delivery_person_Ratings               2.500000
Restaurant_latitude                  12.933298
Restaurant_longitude                 77.614293
Delivery_location_latitude           13.003298
Delivery_location_longitude          77.684293
Order_Date                          04-04-2022
Time_Orderd                              22:60
Time_Order_picked                        23:10
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     34.000000
Name: 36551, dtype: object
