ID                                       0x6ea5
Delivery_person_ID             RANCHIRES09DEL03
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   23.351058
Restaurant_longitude                  85.325731
Delivery_location_latitude            23.411058
Delivery_location_longitude           85.385731
Order_Date                           01-04-2022
Time_Orderd                               20:10
Time_Order_picked                         20:15
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      23.000000
Name: 13700, dtype: object
