ID                                      0xe0ea
Delivery_person_ID             LUDHRES010DEL02
Delivery_person_Age                  22.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  30.892860
Restaurant_longitude                 75.822199
Delivery_location_latitude           31.022860
Delivery_location_longitude          75.952199
Order_Date                          18-02-2022
Time_Orderd                              23:60
Time_Order_picked                        24:15
Weather conditions                      Cloudy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     24.000000
Name: 32480, dtype: object
