ID                                       0xd82b
Delivery_person_ID                AGRRES16DEL01
Delivery_person_Age                       37.00
Delivery_person_Ratings                    4.60
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.04
Delivery_location_longitude                0.04
Order_Date                           15-02-2022
Time_Orderd                               15:35
Time_Order_picked                         15:45
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                     No
City                                      Urban
Time_taken (min)                          18.00
Name: 14919, dtype: object
