ID                                       0xb0c
Delivery_person_ID             PUNERES010DEL02
Delivery_person_Age                  28.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  18.539299
Restaurant_longitude                 73.897902
Delivery_location_latitude           18.559299
Delivery_location_longitude          73.917902
Order_Date                          05-04-2022
Time_Orderd                              10:60
Time_Order_picked                        11:05
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     18.000000
Name: 44387, dtype: object
