ID                                    0xbcac
Delivery_person_ID             MYSRES06DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                12.323994
Restaurant_longitude               76.626167
Delivery_location_latitude         12.433994
Delivery_location_longitude        76.736167
Order_Date                        08-03-2022
Time_Orderd                            18:60
Time_Order_picked                      19:10
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   37.000000
Name: 19535, dtype: object
