ID                                       0x6fcb
Delivery_person_ID             RANCHIRES12DEL02
Delivery_person_Age                       38.00
Delivery_person_Ratings                    4.80
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.05
Delivery_location_longitude                0.05
Order_Date                           24-03-2022
Time_Orderd                               23:25
Time_Order_picked                         23:30
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          15.00
Name: 18371, dtype: object
