ID                                       0x81dd
Delivery_person_ID                MYSRES17DEL01
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   12.326356
Restaurant_longitude                  76.619103
Delivery_location_latitude            12.436356
Delivery_location_longitude           76.729103
Order_Date                           06-04-2022
Time_Orderd                               22:25
Time_Order_picked                         22:40
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      18.000000
Name: 41087, dtype: object
