ID                                     0xb9a3
Delivery_person_ID             INDORES12DEL03
Delivery_person_Age                  38.00000
Delivery_person_Ratings               4.80000
Restaurant_latitude                  22.74806
Restaurant_longitude                 75.89340
Delivery_location_latitude           22.77806
Delivery_location_longitude          75.92340
Order_Date                         13-03-2022
Time_Orderd                             21:15
Time_Order_picked                       21:25
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                   2.00000
Festival                                   No
City                            Metropolitian
Time_taken (min)                     37.00000
Name: 31893, dtype: object
