ID                                      0x64ac
Delivery_person_ID             COIMBRES14DEL03
Delivery_person_Age                  29.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.003681
Restaurant_longitude                 76.975525
Delivery_location_latitude           11.063681
Delivery_location_longitude          77.035525
Order_Date                          03-04-2022
Time_Orderd                              23:30
Time_Order_picked                        23:45
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     17.000000
Name: 12745, dtype: object
