ID                                       0x99ce
Delivery_person_ID                MYSRES13DEL02
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   12.310972
Restaurant_longitude                  76.659264
Delivery_location_latitude            12.330972
Delivery_location_longitude           76.679264
Order_Date                           28-03-2022
Time_Orderd                                9:45
Time_Order_picked                          9:50
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 34523, dtype: object
