ID                                    0xd0c7
Delivery_person_ID             KOLRES11DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                22.577821
Restaurant_longitude               88.400581
Delivery_location_latitude         22.617821
Delivery_location_longitude        88.440581
Order_Date                        15-02-2022
Time_Orderd                              NaN
Time_Order_picked                      15:30
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   18.000000
Name: 14014, dtype: object
