ID                                       0x30dc
Delivery_person_ID                HYDRES19DEL01
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   17.458998
Restaurant_longitude                  78.500366
Delivery_location_latitude            17.498998
Delivery_location_longitude           78.540366
Order_Date                           03-03-2022
Time_Orderd                               15:25
Time_Order_picked                         15:30
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      11.000000
Name: 20488, dtype: object
