ID                                     0x90ec
Delivery_person_ID             PUNERES06DEL03
Delivery_person_Age                 22.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 18.546258
Restaurant_longitude                73.904337
Delivery_location_latitude          18.576258
Delivery_location_longitude         73.934337
Order_Date                         01-03-2022
Time_Orderd                             23:20
Time_Order_picked                       23:30
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    16.000000
Name: 21610, dtype: object
