ID                                       0x788e
Delivery_person_ID                SURRES20DEL01
Delivery_person_Age                   27.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   21.152760
Restaurant_longitude                  72.778059
Delivery_location_latitude            21.262760
Delivery_location_longitude           72.888059
Order_Date                           02-03-2022
Time_Orderd                               17:30
Time_Order_picked                         17:35
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 44, dtype: object
