ID                                    0xc41e
Delivery_person_ID             KOLRES15DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                22.552672
Restaurant_longitude               88.352885
Delivery_location_latitude         22.662672
Delivery_location_longitude        88.462885
Order_Date                        18-02-2022
Time_Orderd                            20:15
Time_Order_picked                      20:25
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   18.000000
Name: 27556, dtype: object
