ID                                       0x7a1a
Delivery_person_ID              COIMBRES06DEL02
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   11.021278
Restaurant_longitude                  76.995017
Delivery_location_latitude            11.101278
Delivery_location_longitude           77.075017
Order_Date                           31-03-2022
Time_Orderd                               19:10
Time_Order_picked                         19:25
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                    Yes
City                              Metropolitian
Time_taken (min)                      42.000000
Name: 14359, dtype: object
