ID                                      0x953a
Delivery_person_ID             COIMBRES19DEL01
Delivery_person_Age                  39.000000
Delivery_person_Ratings               4.300000
Restaurant_latitude                  11.022298
Restaurant_longitude                 76.998349
Delivery_location_latitude           11.132298
Delivery_location_longitude          77.108349
Order_Date                          02-04-2022
Time_Orderd                              21:20
Time_Order_picked                        21:35
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   3.000000
Festival                                   Yes
City                             Metropolitian
Time_taken (min)                     52.000000
Name: 20550, dtype: object
