ID                                      0x81ac
Delivery_person_ID             PUNERES010DEL02
Delivery_person_Age                  22.000000
Delivery_person_Ratings               2.700000
Restaurant_latitude                  18.539299
Restaurant_longitude                 73.897902
Delivery_location_latitude           18.669299
Delivery_location_longitude          74.027902
Order_Date                          10-03-2022
Time_Orderd                              23:55
Time_Order_picked                        24:05
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   2.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     43.000000
Name: 43499, dtype: object
