ID                                       0xc109
Delivery_person_ID                KOLRES12DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   22.551084
Restaurant_longitude                  88.354127
Delivery_location_latitude            22.661084
Delivery_location_longitude           88.464127
Order_Date                           18-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         21:10
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      35.000000
Name: 34358, dtype: object
