ID                                       0x21f9
Delivery_person_ID                MYSRES18DEL01
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   12.337928
Restaurant_longitude                  76.617889
Delivery_location_latitude            12.377928
Delivery_location_longitude           76.657889
Order_Date                           13-03-2022
Time_Orderd                               12:15
Time_Order_picked                         12:30
Weather conditions                          Fog
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      33.000000
Name: 40357, dtype: object
