ID                                       0x5aab
Delivery_person_ID               CHENRES14DEL03
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   13.026279
Restaurant_longitude                  80.174568
Delivery_location_latitude            13.116279
Delivery_location_longitude           80.264568
Order_Date                           02-04-2022
Time_Orderd                               17:25
Time_Order_picked                         17:35
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 34248, dtype: object
