ID                                       0xa0bf
Delivery_person_ID                MUMRES06DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.000000
Restaurant_latitude                   19.055831
Restaurant_longitude                  72.833984
Delivery_location_latitude            19.125831
Delivery_location_longitude           72.903984
Order_Date                           20-03-2022
Time_Orderd                               17:40
Time_Order_picked                         17:55
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 20362, dtype: object
