ID                                      0xf73
Delivery_person_ID             PUNERES02DEL01
Delivery_person_Age                 38.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 18.551440
Restaurant_longitude                73.804855
Delivery_location_latitude          18.591440
Delivery_location_longitude         73.844855
Order_Date                         01-04-2022
Time_Orderd                             14:20
Time_Order_picked                       14:25
Weather conditions                      Sunny
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    15.000000
Name: 8698, dtype: object
