ID                                    0xba76
Delivery_person_ID             MUMRES04DEL02
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                19.254567
Restaurant_longitude               72.848923
Delivery_location_latitude         19.334567
Delivery_location_longitude        72.928923
Order_Date                        02-04-2022
Time_Orderd                            19:45
Time_Order_picked                      19:60
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   36.000000
Name: 21001, dtype: object
