ID                                       0xb4f1
Delivery_person_ID             RANCHIRES03DEL03
Delivery_person_Age                       32.00
Delivery_person_Ratings                    4.50
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.09
Delivery_location_longitude                0.09
Order_Date                           20-03-2022
Time_Orderd                               17:15
Time_Order_picked                         17:25
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                         scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          27.00
Name: 24649, dtype: object
