ID                                    0x6c18
Delivery_person_ID             SURRES12DEL01
Delivery_person_Age                31.000000
Delivery_person_Ratings             3.800000
Restaurant_latitude                21.183434
Restaurant_longitude               72.814492
Delivery_location_latitude         21.293434
Delivery_location_longitude        72.924492
Order_Date                        23-03-2022
Time_Orderd                            20:40
Time_Order_picked                      20:50
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   37.000000
Name: 41128, dtype: object
