ID                                     0xdc55
Delivery_person_ID             DEHRES010DEL02
Delivery_person_Age                 24.000000
Delivery_person_Ratings              4.400000
Restaurant_latitude                 30.328174
Restaurant_longitude                78.049117
Delivery_location_latitude          30.408174
Delivery_location_longitude         78.129117
Order_Date                         18-02-2022
Time_Orderd                             17:30
Time_Order_picked                       17:45
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    37.000000
Name: 17079, dtype: object
