ID                                      0x5aea
Delivery_person_ID             COIMBRES13DEL02
Delivery_person_Age                  39.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.003669
Restaurant_longitude                 76.976494
Delivery_location_latitude           11.023669
Delivery_location_longitude          76.996494
Order_Date                          03-03-2022
Time_Orderd                              10:15
Time_Order_picked                        10:30
Weather conditions                  Sandstorms
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     22.000000
Name: 7811, dtype: object
