ID                                     0xb2ef
Delivery_person_ID             BANGRES18DEL01
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.400000
Restaurant_latitude                 12.913041
Restaurant_longitude                77.683237
Delivery_location_latitude          13.023041
Delivery_location_longitude         77.793237
Order_Date                         04-04-2022
Time_Orderd                             20:35
Time_Order_picked                       20:50
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    36.000000
Name: 17902, dtype: object
