ID                                     0x8ad4
Delivery_person_ID             CHENRES04DEL03
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 13.029780
Restaurant_longitude                80.208812
Delivery_location_latitude          13.089780
Delivery_location_longitude         80.268812
Order_Date                         15-03-2022
Time_Orderd                             17:55
Time_Order_picked                       18:05
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    28.000000
Name: 40835, dtype: object
