ID                                    0xc2ef
Delivery_person_ID             GOARES08DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                15.556561
Restaurant_longitude               73.763633
Delivery_location_latitude         15.566561
Delivery_location_longitude        73.773633
Order_Date                        13-02-2022
Time_Orderd                             9:35
Time_Order_picked                       9:40
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   19.000000
Name: 32687, dtype: object
