ID                                     0xbc8c
Delivery_person_ID             PUNERES18DEL02
Delivery_person_Age                 27.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 18.593481
Restaurant_longitude                73.785901
Delivery_location_latitude          18.643481
Delivery_location_longitude         73.835901
Order_Date                         13-03-2022
Time_Orderd                             17:55
Time_Order_picked                       17:60
Weather conditions                        Fog
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                       NaN
Festival                                   No
City                            Metropolitian
Time_taken (min)                    21.000000
Name: 11323, dtype: object
