ID                                       0xa58c
Delivery_person_ID             RANCHIRES07DEL03
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   23.359407
Restaurant_longitude                  85.325055
Delivery_location_latitude            23.449407
Delivery_location_longitude           85.415055
Order_Date                           20-03-2022
Time_Orderd                               23:30
Time_Order_picked                         23:45
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      14.000000
Name: 27422, dtype: object
