ID                                      0xc666
Delivery_person_ID             LUDHRES010DEL01
Delivery_person_Age                  22.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  30.892860
Restaurant_longitude                 75.822199
Delivery_location_latitude           30.962860
Delivery_location_longitude          75.892199
Order_Date                          14-02-2022
Time_Orderd                              18:15
Time_Order_picked                        18:30
Weather conditions                      Cloudy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     27.000000
Name: 36949, dtype: object
