ID                                       0x2a0e
Delivery_person_ID                JAPRES06DEL02
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   26.911927
Restaurant_longitude                  75.797282
Delivery_location_latitude            27.041927
Delivery_location_longitude           75.927282
Order_Date                           31-03-2022
Time_Orderd                               21:20
Time_Order_picked                         21:30
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      43.000000
Name: 8759, dtype: object
