ID                                       0x8a8e
Delivery_person_ID                JAPRES05DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   26.905287
Restaurant_longitude                  75.794592
Delivery_location_latitude            26.945287
Delivery_location_longitude           75.834592
Order_Date                           11-03-2022
Time_Orderd                               12:35
Time_Order_picked                         12:50
Weather conditions                       Stormy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      28.000000
Name: 34845, dtype: object
