ID                                    0xcc85
Delivery_person_ID             KOCRES18DEL01
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                 9.957144
Restaurant_longitude               76.296783
Delivery_location_latitude          9.967144
Delivery_location_longitude        76.306783
Order_Date                        15-02-2022
Time_Orderd                            10:40
Time_Order_picked                      10:45
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 22290, dtype: object
