ID                                    0xc1c7
Delivery_person_ID             KOCRES11DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                10.006881
Restaurant_longitude               76.345397
Delivery_location_latitude         10.046881
Delivery_location_longitude        76.385397
Order_Date                        15-02-2022
Time_Orderd                            16:10
Time_Order_picked                      16:25
Weather conditions                     Sunny
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 23629, dtype: object
