ID                                    0xb16f
Delivery_person_ID             JAPRES18DEL01
Delivery_person_Age                29.000000
Delivery_person_Ratings             3.600000
Restaurant_latitude                26.913987
Restaurant_longitude               75.752891
Delivery_location_latitude         26.953987
Delivery_location_longitude        75.792891
Order_Date                        28-03-2022
Time_Orderd                            12:15
Time_Order_picked                      12:30
Weather conditions                     Sunny
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   44.000000
Name: 16527, dtype: object
