ID                                      0x3a9b
Delivery_person_ID             COIMBRES15DEL01
Delivery_person_Age                  28.000000
Delivery_person_Ratings               4.300000
Restaurant_latitude                  11.006686
Restaurant_longitude                 76.951736
Delivery_location_latitude           11.016686
Delivery_location_longitude          76.961736
Order_Date                          01-04-2022
Time_Orderd                               9:45
Time_Order_picked                         9:50
Weather conditions                  Sandstorms
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     19.000000
Name: 19783, dtype: object
