ID                                       0xcbc0
Delivery_person_ID               AURGRES14DEL02
Delivery_person_Age                   30.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   19.875016
Restaurant_longitude                  75.322405
Delivery_location_latitude            19.925016
Delivery_location_longitude           75.372405
Order_Date                           11-02-2022
Time_Orderd                               21:45
Time_Order_picked                         21:50
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 21030, dtype: object
