ID                                    0xc9b3
Delivery_person_ID             GOARES05DEL02
Delivery_person_Age                    31.00
Delivery_person_Ratings                 3.80
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.13
Delivery_location_longitude             0.13
Order_Date                        12-02-2022
Time_Orderd                            20:15
Time_Order_picked                      20:25
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       31.00
Name: 4888, dtype: object
