ID                                       0xd8af
Delivery_person_ID                ALHRES12DEL03
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   25.443994
Restaurant_longitude                  81.860187
Delivery_location_latitude            25.583994
Delivery_location_longitude           82.000187
Order_Date                           16-02-2022
Time_Orderd                               22:55
Time_Order_picked                         23:10
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 10818, dtype: object
