ID                                    0xc7f0
Delivery_person_ID             KNPRES09DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                26.473698
Restaurant_longitude               80.352677
Delivery_location_latitude         26.483698
Delivery_location_longitude        80.362677
Order_Date                        15-02-2022
Time_Orderd                              NaN
Time_Order_picked                       9:25
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   16.000000
Name: 38986, dtype: object
