ID                                       0xda60
Delivery_person_ID               AURGRES17DEL02
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   19.876994
Restaurant_longitude                  75.372353
Delivery_location_latitude            19.896994
Delivery_location_longitude           75.392353
Order_Date                           13-02-2022
Time_Orderd                                8:10
Time_Order_picked                          8:25
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      14.000000
Name: 18285, dtype: object
