ID                                        0x64f
Delivery_person_ID             RANCHIRES11DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   23.359194
Restaurant_longitude                  85.325447
Delivery_location_latitude            23.369194
Delivery_location_longitude           85.335447
Order_Date                           09-03-2022
Time_Orderd                                9:45
Time_Order_picked                          9:60
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      24.000000
Name: 38004, dtype: object
