ID                                       0xb60c
Delivery_person_ID                MYSRES09DEL02
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   12.323194
Restaurant_longitude                  76.630583
Delivery_location_latitude            12.403194
Delivery_location_longitude           76.710583
Order_Date                           04-04-2022
Time_Orderd                               21:55
Time_Order_picked                         21:60
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      40.000000
Name: 30176, dtype: object
