ID                                       0x5ea2
Delivery_person_ID               CHENRES02DEL02
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   13.086438
Restaurant_longitude                  80.220672
Delivery_location_latitude            13.106438
Delivery_location_longitude           80.240672
Order_Date                           30-03-2022
Time_Orderd                                8:60
Time_Order_picked                          9:05
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      16.000000
Name: 20770, dtype: object
