ID                                       0xa5cc
Delivery_person_ID                JAPRES17DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   26.892312
Restaurant_longitude                  75.806896
Delivery_location_latitude            26.932312
Delivery_location_longitude           75.846896
Order_Date                           05-04-2022
Time_Orderd                               15:50
Time_Order_picked                         15:55
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 5732, dtype: object
