ID                                      0x9a37
Delivery_person_ID             INDORES010DEL02
Delivery_person_Age                  30.000000
Delivery_person_Ratings               3.900000
Restaurant_latitude                  22.750040
Restaurant_longitude                 75.902847
Delivery_location_latitude           22.830040
Delivery_location_longitude          75.982847
Order_Date                          10-03-2022
Time_Orderd                              17:30
Time_Order_picked                        17:45
Weather conditions                      Stormy
Road_traffic_density                    Medium
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     33.000000
Name: 2592, dtype: object
