ID                                       0x1f7b
Delivery_person_ID             RANCHIRES09DEL02
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.351058
Restaurant_longitude                  85.325731
Delivery_location_latitude            23.431058
Delivery_location_longitude           85.405731
Order_Date                           31-03-2022
Time_Orderd                               22:45
Time_Order_picked                         22:50
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      11.000000
Name: 43571, dtype: object
