ID                                    0xc4d2
Delivery_person_ID             KNPRES18DEL01
Delivery_person_Age                33.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                26.474133
Restaurant_longitude               80.348100
Delivery_location_latitude         26.514133
Delivery_location_longitude        80.388100
Order_Date                        13-02-2022
Time_Orderd                            16:20
Time_Order_picked                      16:25
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   25.000000
Name: 33372, dtype: object
