ID                                    0xc7af
Delivery_person_ID             DEHRES03DEL01
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                30.335259
Restaurant_longitude               78.053162
Delivery_location_latitude         30.345259
Delivery_location_longitude        78.063162
Order_Date                        13-02-2022
Time_Orderd                            11:25
Time_Order_picked                      11:40
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   38.000000
Name: 3815, dtype: object
